No,reviewId,Ulasan,Rating,Tanggal,Label Tipe,Aspek/Modul,Alasan_Singkat (opsional),Ambigu? (Y/N),Untuk_Sampel_Kappa? (Y/N),Nama Aplikasi
22432,74291e14-9ac1-40b4-ac70-5049289344de,"baru baca di poin 5. kebijakan privasi ajh udah nggak, ada tulisan instansi tidak bertanggung jawab , di poin 6 apa lagi dibagian penafsiran, apakah akah terjadi hal buruk oleh saya karena review seperti ini???",2,2026-05-21 12:35:09,Other,Other,,,N,IKD
24699,2eaf00d0-52f3-4790-ab42-082681dee208,ngeleg di swa foto .mau masuk dah punya akun gag bisa,2,2026-01-08 11:08:46,Bug Report,Login/OTP/Verifikasi,,,N,IKD
22237,bbc0636a-e33d-42fc-9e6c-8860ed871366,sangat membbantu dan memuwaskan,5,2026-05-26 09:27:36,Other,Other,,,N,IKD
19907,1cac6342-142a-475e-8d74-9c7d256e70dc,kebanyakaan perintah masukan pin,4,2026-07-30 11:56:21,Feature Request,Login/OTP/Verifikasi,,,N,IKD
22629,0df1a8b5-5308-4457-9bf6-5855b8aee6a9,sangat membantu untuk urusan administrasi dan lainnya,5,2026-05-15 17:11:39,Other,Other,,,N,IKD
25499,ca2bf1a3-aa3b-4dc5-a194-5f5337068e54,aplikasinya susah buat logon minta password tpi ngak tau gimana dapatkannya. mempersulit masyarkat mau ngurus lewat online aja. aplikasi ngak ada guna ini,1,2025-11-19 13:47:19,Bug Report,Login/OTP/Verifikasi,,,N,IKD
21512,de451b9f-12a1-498c-82e9-d069aff0652f,Mantap sangat jelas dan luar biasa..makin terpercaya dan makin gampang untuk di buka..mohon di pertahan kan aplikasi ini agar gampang di buka ..saran saya jngan terlalu sering banyak perubahan..ini sudah keren dan SDH layak di lihat KTP nya dengan jelas.. Mantap..tolong dokumentasi ada ruang khusus agar tetap kelihatan makin keren dan makin mantap di lihat .Buat fitur lebih yg ok lagi biar mudah di ingat dan gampang buat di buka..Untuk saya aplikasinya sudah sangat layak dan mantap sekali.......,5,2026-06-15 02:09:06,Feature Request,Layanan Inti,,,N,IKD
27073,371e4751-118c-4ab4-8db4-5bc4ed64ca38,aplikasi Log out sendiri dan susah untuk masuk kembali,1,2025-08-15 06:58:55,Bug Report,Login/OTP/Verifikasi,,,N,IKD
22171,822b91cf-1bcc-4370-b861-069d3437aeab,aplikasi yg sangat penting dimiliki oleh setiap warga Negara Indonesia,5,2026-05-28 23:46:02,Other,Other,,,N,IKD
26240,cdb53c39-0307-4a6e-a46e-6d538ccffca6,aplikasi mempersulit,1,2025-10-09 12:52:41,Other,Other,,,N,IKD
24958,f7c144ea-db27-4a4e-afd3-543a11a9d675,"email ga masuk2, nyusahin aja padahal penyimpanan ga penuh, biaya anggaran buat aplikasi nya di kantongi mangkanya aplikasi ini jadi jelek, harus nya anggaran yang turun buat bikin aplikasi di pakai semua untuk aplikasi ini biar bagus gini nih saya bulak balik luar kota ngurusin KTP jadi ribet,",1,2025-12-22 17:26:34,Bug Report,Login/OTP/Verifikasi,,,N,IKD
21527,b555924c-2ecb-459a-bc8b-5db94716f88b,ada aja yang belum mau menerima selain fisik ktp,5,2026-06-14 18:35:06,Other,Other,,,N,IKD
23518,a2a7ddef-7b37-495f-92de-db822fb717e0,punya saya ko gak ada pelayanan lahir anak wni jadi susah mau buat kk baru gimana cara ufdate yh,1,2026-04-09 13:52:57,Feature Request,Layanan Inti,,,N,IKD
26512,30ce2ea2-c633-46b6-84a4-be8c8dd87dfe,sama aja bohong hedehh,1,2025-09-23 18:59:16,Other,Other,,,Y,IKD
24828,5bc642c1-fd17-4756-8c8d-cffe343f57c1,"dari awal daftar sampe skr mau akses menu pelayanan cuma muter2 doang loading ga selesai2. di tungguin seharian tetep aja loading, coba isi kuota, pake wifi tetep cuma loading aja. gini amat apk pemerintah.. tolong dong di sediain apk ini kan buat mempermudah pelayanan. tp ga ngebantu amat.",1,2026-01-02 13:37:34,Bug Report,Peforma Umum,,,N,IKD
26232,262dbc75-6321-4180-83cb-65f822bfd393,susah banget buat Selfi katanya ngga ribet,1,2025-10-09 20:48:33,Bug Report,Login/OTP/Verifikasi,,,Y,IKD
22304,7041f717-92cc-46dc-ac71-e3064e1c6420,keyen bgt pokoknya mudah2n aktenya tinggal ngambil dan beres besok,5,2026-05-24 21:15:00,Other,Other,,,N,IKD
22927,4d522130-be0f-4e14-861f-586a99121386,"Aplikasi Kocak Ngapain pake aplikasi tapi ujung""nya harus k kantor dukcapil utk minta kode QR Code",1,2026-05-08 09:37:38,Feature Request,Login/OTP/Verifikasi,,,N,IKD
24243,7e5b2eea-bd87-42cc-a379-4371472bf4ee,"MASAK BACK SEKALI AJA HARUS PAKE TOMBOL YANG DI POJOK KIRI ATAS, UX NYA JADI KAKU LAH. MAKSA BANGET HARUS GITU. ANIMASI MUTER2 NYA BIKIN TERASA MAKIN LEMOT. PERMINTAAN PIN BERULANG KALI SANGAT TIDAK EFISIEN..",1,2026-02-06 22:07:52,Feature Request,Peforma Umum,,,N,IKD
24145,2d34a34f-2a9d-44a9-8f58-f3c25ae33f2a,ini gimana sih sering banget eror,1,2026-02-12 22:35:18,Bug Report,Peforma Umum,,,N,IKD
22581,c0fd1db4-28cd-4b56-92d2-a6d187ffd312,bingung apanya yg online malah sulit masuk aja sulit setau saya kalo da online ya sudah yg penting lengkap datanya selesai ga tau ni masi ribet juga,2,2026-05-18 11:54:42,Bug Report,Login/OTP/Verifikasi,,,N,IKD
25152,0817712a-0696-425b-88c4-2cf85d16eee4,yg blm punya akun gmna,1,2025-12-09 07:25:48,Feature Request,Login/OTP/Verifikasi,,,N,IKD
25234,2c32502d-7dfe-4b3d-82f5-98076c433e3a,Saya lupa pin IKD. Harus bagaimana cara mengembalikan pin saya,5,2025-12-04 11:14:11,Feature Request,Login/OTP/Verifikasi,,,N,IKD
21992,7d01105b-4658-4bbc-82f3-cc955d9d2825,"sgt membantu,good job",5,2026-06-03 10:50:23,Other,Other,,,N,IKD
25159,8625ab61-5c73-4aea-9cd8-44df1e74be62,"jelek, tiba2 ga bisa diakses. setelah diakses pun tiba2 disuruh buat ulang lagi, setelah kubuat ulang lagi ternyata tetep ga bisa masuk. hadehh",1,2025-12-08 14:49:26,Bug Report,Login/OTP/Verifikasi,,,N,IKD
22255,2186db74-4b09-4888-89ec-513a7c970b32,"pelayanan cepat,,",5,2026-05-25 20:19:16,Other,Other,,,N,IKD
22120,43f92e38-6380-47f0-9b3e-faf35ec554d4,"aikasi ini menurut saya bagus untuk menambah pengetahuan dan pengalaman mengenai identitas kependudukan,.",5,2026-05-30 11:59:25,Other,Other,,,N,IKD
20269,5332da72-8e01-4ed8-897e-71ffa60d6e64,Ngurus KTP disuruh buat IKD dulu sma org kelurahan pas bikin proses nya satset bgt aplikasi nya mantap👍🏼,5,2026-07-20 16:24:22,Other,Layanan Inti,,,Y,IKD
20660,69c7cb20-4686-4b85-818c-a3e25f532a9b,"aplikasi sampah, nyuruh swafoto untuk pendaftaran, pas di klik, gk ada respons! makanya bayar yg bener ke developer, berbelit2 pasti bayarnya, makanya apk jadi sampah!",1,2026-07-08 14:31:36,Bug Report,Login/OTP/Verifikasi,,,Y,IKD
21218,42d32180-e78d-48f3-bfb5-fafdb908ed0b,pelayanan keren,5,2026-06-23 15:22:45,Other,Other,,,N,IKD
19940,fd0edd91-07e2-4752-9d68-ad81386f1290,berguna bagi masyarakat,5,2026-07-29 15:10:06,Other,Other,,,N,IKD
19825,d943b7bd-529f-43ac-8afe-e9472b9408c2,Sangat membantu jadi ga repot repot bawa fisik nya cukup dengan digital sudah lebih praktis,5,2026-08-03 08:55:08,Other,Layanan Inti,,,N,IKD
21558,ab908577-cbea-4a11-8323-4abf5857c537,"Mudah digunakan,aplikasi bagus,jadi tersimpan aman di Handphone,pokoknya juara dan terus tingkatkan kualitas layanannya",5,2026-06-13 10:48:26,Other,Other,,,N,IKD
25787,7a48911d-888c-4974-b936-6d3b27538c54,"Aplikasi yg tidak bermanfaat. selama ini belum pernah merasakan manfaatnya IKD, semua urusan termasuk urusan administrasi pemerintahan selalu minta salinan fisik KTP dan KK. ngurus SIM, pajak, dll. Di samping itu aplikasinya sering error, dan harus registrasi dari awal lagi, swafoto lagi.",1,2025-11-09 21:31:35,Bug Report,Login/OTP/Verifikasi,,,N,IKD
25062,204de46f-1a4e-4760-86e9-099fc54f5b63,demi apapun dah luama bet loginnya padahal hp android 11 ada paling 5-10x baru bisa masuk dia,2,2025-12-15 22:22:38,Bug Report,Login/OTP/Verifikasi,,,Y,IKD
24351,dd90d123-9990-4d0b-85a4-ae4f78b9a556,"aplikasi jelek, sudah pernah daftar dan login, giliran beberapa bulan mau login lagi susahnya minta ampun katanya PIN salah, dan gak ada fitur buat ganti pin atau lupa pin",1,2026-01-29 10:49:45,Feature Request,Login/OTP/Verifikasi,,,Y,IKD
21477,db272a68-047e-41db-92f2-cc0083d698b5,bagus tapi mohon jangan selalu verifikasi akun,5,2026-06-16 02:11:06,Feature Request,Login/OTP/Verifikasi,,,N,IKD
24966,de09c8c6-b279-4f9d-97cb-6661d68dd336,"ribet,harus segala dpan petugas bukanya di permudah malah bikin ruett",1,2025-12-22 10:20:17,Feature Request,Login/OTP/Verifikasi,,,N,IKD
24788,5e52cf7c-ca50-4cd2-98e4-4b1801a1a9cc,"apk nggak berkualitas. setiap mau log in jaringan selalu terputus. wifi full ngebut tetep terputus. mau nya apa sih nih apk . diupdate iya , giliran mau digunain ga bisa.",1,2026-01-04 15:36:11,Bug Report,Login/OTP/Verifikasi,,,N,IKD
22635,50349c8c-c2d7-4993-b7a9-69b15f848f67,"Mantab,loading cepat,dokumen aman",5,2026-05-15 14:24:53,Other,Peforma Umum,,,N,IKD
24474,a6e134ad-109c-4e71-8cfa-aad9df657ac7,"digital tapi harus dftar ke capil, kan dongo... buat apa klo gitu verifikasi wajah di hP?",1,2026-01-21 12:59:19,Feature Request,Login/OTP/Verifikasi,,,N,IKD
20583,3973c881-ec2b-4773-b107-31e85daf081c,"sangat mudah dan bermanfaat,tp masih ada sedikit kekurangan di informasi publik.",5,2026-07-10 11:41:14,Feature Request,Layanan Inti,,,N,IKD
26510,487ee334-ed01-452b-aadc-68e6d7e9cf20,"makin parah, awalnya cukuplah sederhana. berikutnya saat ada keperluan tiba² semua berubah. seperti masuk jebakan. sbg warga negara dengan kasus e-KTP seharusnya kepercayaan rakyat dijaga. apa perlunya minta ijin akses foto, suara dg cara MEMAKSA! kl tidak dipenuhi paksa tutup aplikasi. emang kami rakyat dianggap mata² bebahaya, teroris atau musuh negara? atau pesanan aseng ya? kalau ada pilihan tanpa ★ aplikasi pemaksa ini ga perlu dapat ★ atau -★?",1,2025-09-23 21:07:41,Other,Other,,,N,IKD
20124,8170e3de-d643-4ff7-a655-2444b3a74e9d,sudah daftar masih aja keluar aplikasih,1,2026-07-23 23:28:56,Bug Report,Peforma Umum,,,N,IKD
20452,448d4b10-8fe7-446b-a9f3-6b81f9989112,sangat baik pelanyanannya,5,2026-07-14 23:20:27,Other,Other,,,N,IKD
25652,a800020d-e34f-4fa0-ba13-a9065c5db26e,Ribettt,1,2025-11-13 23:46:58,Other,Other,,,N,IKD
25642,49b01df1-6c47-4f70-8057-cf0f3007fc9c,"mohon dirilis kembali untuk android 5, 6 , 7 kasian yang masih pakai hp android lama gak bisa di instal...",5,2025-11-14 13:04:16,Feature Request,Peforma Umum,,,Y,IKD
19762,e929f02f-7e79-462f-bcf5-796f03ab0d93,lebih memudahkan dan praktis,5,2026-08-04 15:40:34,Other,Other,,,N,IKD
26616,5871c06f-dc26-43fb-af70-45e74bac69b2,"setiap selesai update selalu begini, set ulang kaua ga ada kerjaan lain developernya.😅",1,2025-09-17 09:57:05,Bug Report,Peforma Umum,,,N,IKD
25130,72a9c972-dabd-4dfc-89a9-d973d32e1c59,"setelah update, masuk jadi susah, berbagi kode qr tidak terbaca link,",2,2025-12-10 13:05:43,Bug Report,Layanan Inti,,,N,IKD
26595,c00a0954-d25a-4659-a89a-c470877d710b,"paling tidak KTP & KK bisa di download lah, masih banyak instansi yang minta copyan",3,2025-09-18 10:56:16,Feature Request,Layanan Inti,,,Y,IKD
23766,1c3d4b9a-8022-4b99-8f7f-cd7a534589fb,Trimakasih layanannya,5,2026-03-17 11:16:54,Other,Other,,,N,IKD
25655,600de8d0-c535-4515-9210-f86bfc686aab,saya sangat terbantu dengn ad ny gool ini,5,2025-11-13 21:48:13,Other,Other,,,N,IKD
25018,b8e3bf27-cd01-4d22-bd7a-e5e5404e8288,"tolong dong di permudah untuk cetak fisik dokumen,ga bisa di print ,ga bisa di jadikan pdf,mengajukan permohonan cetak kartu juga tidak di verifikasi bagai mana ini?",4,2025-12-18 07:19:06,Feature Request,Layanan Inti,,,N,IKD
24266,3c857f4c-8fda-4cc6-bf7b-9b33166dbb38,"sangat membantu untuk bisa mengecek data kependudukan kita,biarpun kita diluar kota",4,2026-02-05 19:26:05,Other,Layanan Inti,,,N,IKD
27115,54fd4bb5-a72b-4a49-821b-7d058f6b73e1,tambahkan fitur download file plis,5,2025-08-12 11:00:21,Feature Request,Layanan Inti,,,N,IKD
26932,9e9e6a9c-db5a-4418-b72e-e2b622955b61,"Sedikit berbagi pengalaman menggunakan aplikasi ikd. hari ini saya mengurus surat pindah di disdukcapil kota bontang menunggu perpindahan data, saya tidak perlu datang ke kantor lagi, selang 1 hari langsung muncul di aplikasi ini. ternyata sangat efisien. Petugas ikd di kota bontang juga sangat ramah. semoga fitur yang ada di dalam nya ditingkatkan lagi agar kami bisa melakukan pelayanan publik lewat hp saja",5,2025-08-26 23:48:56,Feature Request,Layanan Inti,,,N,IKD
25981,917c94f1-e7be-4c83-9b5c-619fa467c915,aplikasinya sulit,1,2025-10-28 19:02:43,Other,Other,,,N,IKD
25210,774dbdcb-4ce2-4e34-9548-a59a766ac136,"bisa2nya apk simpel kek gni aj gk bisa buat, pemerintah ngpain jing",1,2025-12-05 12:08:08,Other,Other,,,N,IKD
25786,a8d6d78f-4d0b-436a-a124-55793fb21ffc,"mohon untuk dikaji kembali persyaratan scane barcode yang diberikan oleh admin dukcapil, karena kami ingin melakukan daftar online karena terkendala jarak dan waktu, kalau harus minta barcode ke admin dukcapil lagi, buat apa kami daftar online",1,2025-11-09 21:42:03,Feature Request,Login/OTP/Verifikasi,,,N,IKD
23666,2b48b272-4887-409d-b657-1ab514665a3c,aplikasi jelek gak bisa di pakapus aja gak guna 👎,1,2026-03-31 12:49:24,Other,Other,,,N,IKD
24982,e7407750-a498-4aec-82c5-5e358cde8f6d,"apk gak guna verifikasi kudu sama orang kelurahan bukannya mempermudah malah memper sulit sumpah gak ada gunanya juga nih KTP Digital, ini fungsinya buat apa dah? mau jual data kah?",1,2025-12-20 12:58:08,Feature Request,Login/OTP/Verifikasi,,,N,IKD
22274,d0de72c3-744f-4345-b146-4168c307be6f,"aplikasinya bagus lengkap, tapi sayang sekali lemoooott banget saat di akses, server muter muter doang, loadingnya kebangetan lamanyaaa, ehh udh ditungguin muncul eror, serius ini server dari pemerintah kq selemah ini?? tolong ditingkatkan lagi lah kekuatan servernya, biar satset saat diakses.",3,2026-05-25 14:47:15,Bug Report,Peforma Umum,,,N,IKD
20319,227b7f03-b996-4dd3-976a-b0cf27ad3e2a,gasss,5,2026-07-18 12:29:09,Other,Other,,,Y,IKD
23962,922293a2-9315-4a30-991b-b40b9156fab6,untuk apa aplikasi ini di buat klo mesti terap harus mendatangi kantor offline? PERCUMA!,1,2026-02-27 16:30:35,Feature Request,Login/OTP/Verifikasi,,,N,IKD
21186,d0f59e34-cd97-4208-bccb-3157bf769da1,sngat membantu buat kmi yg d rantau dan ktpnya buram👍🤙,5,2026-06-24 12:09:51,Other,Layanan Inti,,,N,IKD
22799,b9bb154c-3219-4924-a1a5-e6d84a5acf47,mantap sekali adanya ikd memper muda dlm pengurusan jg simpel mengoprasikan.,5,2026-05-11 17:13:12,Other,Other,,,N,IKD
21719,dac69399-822e-48aa-ae55-7b38f8650470,tidak bisa di gunakan untuk proses lamaran kerja dan proses administrasi lain,2,2026-06-09 10:03:31,Feature Request,Layanan Inti,,,N,IKD
20591,27387cb5-2a3e-4f91-9de7-8883ae005633,mempermudah warga untuk menunjukan identitas diri,4,2026-07-10 09:16:40,Other,Layanan Inti,,,N,IKD
20901,eae19f66-aaaf-40ea-af81-e21d17867d9e,Alhamdulillah dengan adanya IKD semuanya jadi lebih mudah,5,2026-07-02 07:18:54,Other,Other,,,N,IKD
21701,15fbbb1c-203c-4834-a925-317020c0718e,ok gas ok gass,5,2026-06-09 12:56:16,Other,Other,,,N,IKD
23175,b22389a4-02d9-488f-8739-48a59a8c734a,belum biasa,3,2026-04-29 13:38:32,Other,Other,,,Y,IKD
24772,77186457-eec5-4163-affd-313651060548,alhamdulillah aman dan lancar smua data sya pkai ikd dan sklipun kt ada dta terblokir sdh bs di urus kembali,5,2026-01-05 13:24:12,Other,Layanan Inti,,,N,IKD
23235,79a91d54-ad32-4bb8-9ec7-b3da1ca0fe7b,bagian layanan nya lama banget loadingnya kagak kelar2.. di coba bbrp kali sama saja.. mohon di perbaiki..,4,2026-04-27 11:36:57,Bug Report,Peforma Umum,,,N,IKD
24044,a2fd3035-8755-4b92-80ce-386cf705739b,good bngt sangat memuaskan,5,2026-02-20 11:40:44,Other,Other,,,N,IKD
20444,e16ed8c9-5ab1-4460-8c83-c2f708ee3f89,sungguh mantap dan sangat membantu sekali... saya sangat senang sekali.. terima kasih banyak kepada pemerintah Indonesia .. semoga bangsa Indonesia semakin makmur rakyat nya.. amin,5,2026-07-15 09:54:45,Other,Other,,,N,IKD
23435,c0391b02-cbe0-45d1-baa4-1ea89237b040,"aplikasi apaaan ni, ngapain harus ke dukcapil katanya digital tapi harus offline. sama aja",1,2026-04-14 19:48:22,Feature Request,Login/OTP/Verifikasi,,,Y,IKD
23705,7687662f-8d4f-42e2-a79c-df27ee738d3c,aplikasi tolol...login pake NIK dah jelas KTP digital... setiap orang mana hafal NIK masing masing,1,2026-03-27 12:02:19,Feature Request,Login/OTP/Verifikasi,,,N,IKD
20518,b52493bf-5e85-44f3-be3c-01c9bebc81c4,keseringan update kirain tambah baik hasilnya :'(,1,2026-07-13 13:42:57,Other,Other,,,N,IKD
22625,8e4241a5-5124-4085-9c2c-26078beef351,ok.tetapi tdk bisa di screnshoot,5,2026-05-15 21:54:09,Feature Request,Layanan Inti,,,N,IKD
22712,df3e41e7-ff4d-4507-ac5c-71809a7e2a46,kode qr nya harus ke capil dulu,3,2026-05-13 12:38:43,Feature Request,Login/OTP/Verifikasi,,,N,IKD
21673,0d829928-4c74-4812-8fbc-f7857b3c2de3,sebel mintanya di perbarui terus IKD nya,5,2026-06-10 11:02:57,Other,Other,,,N,IKD
23977,742c0532-09e9-439a-a061-103f4351df1a,mohon di buat pembaharuan Poto dan bisa di screenshot data kami,5,2026-02-26 21:49:48,Feature Request,Update Data,,,N,IKD
22327,e1a65030-b045-47d9-8629-3ff790a05da4,sangat membantu tanpa bwa KTP,5,2026-05-23 18:18:28,Other,Layanan Inti,,,N,IKD
23827,92529c0c-9aa6-44bf-af75-7574c3b0d900,merepotkan.,2,2026-03-12 18:09:24,Other,Other,,,N,IKD
20774,e0ab0dc4-4981-4ad7-a5dc-53dc603c8b86,terimakasih ikd,5,2026-07-05 14:15:53,Other,Other,,,Y,IKD
26593,9664c48c-1d23-4f2e-abc5-1b16f0ff7f25,"Sudah daftar offline beberapa bulan lalu, mana antriannya panjang, trs sekarang mau buka aplikasi tulisannya ""terblokir"", KAN ANEH! Aplikasi jarang dipake ko tiba2 diblokir! MENYUSAHKAN HARUS KE DISDUKCAPIL LAGI!!",1,2025-09-18 11:35:43,Bug Report,Login/OTP/Verifikasi,,,N,IKD
27094,0ec61e92-c7aa-4a8c-bbd5-456cb2e07c75,verifikasi wajah tapi GK pernah bisa dah di coba berulang ulang kali sama aj GK bisa,1,2025-08-13 12:33:39,Bug Report,Login/OTP/Verifikasi,,,N,IKD
21873,55a29da1-0d75-453b-9562-5e2a32f5be2a,sangat baik ..,5,2026-06-05 13:52:43,Other,Other,,,N,IKD
27028,1661ddb7-e2d7-4101-a7bd-fa18b18b8a88,aplikasi apa ini sdh daftar TDK bisa masuk,1,2025-08-20 09:19:30,Bug Report,Login/OTP/Verifikasi,,,N,IKD
24153,c1ddfe76-96f6-4aae-9d67-23cf4bd0b2c5,"seperti biasa, aplikasi punyanya pemerintah ga ada yg bener",1,2026-02-12 00:33:49,Other,Other,,,N,IKD
21376,e53f03f8-8052-4f5d-bc71-99e35bbbd731,outstanding,5,2026-06-19 10:59:58,Other,Other,,,N,IKD
27033,d87c86b9-408e-40bd-ae4c-bcfb09fb2d1c,buset dehh. emang bener ya aplikasi buatan pemerintah itu gak ada yang berhasil dan selalu aja gagal. kalau memang bener bener digital ngapain daftar ke dukcapil dan ngapain kalau lupa pun harus ke dukcapil juga akhir akhirnya juga ngabisin duit. kalau memang aplikasi digital ya harusnya bisa dong ngirim solusi lewat email biar bisa ganti pin tanpa ke kantor dukcapil ya namanya ini bukan digital. lolot banget sih pemerintah ketauan banget gak becus ama kerjaanya amit amit,1,2025-08-19 19:13:54,Feature Request,Login/OTP/Verifikasi,,,N,IKD
25520,5d832993-78d1-4388-a9f8-e710cb3ecf86,Aplikasi sangat membantu dalam pembuatan akta kelahiran anak yang baru lahir. tidak capek2 ke Dispenduk lagi,5,2025-11-18 19:47:43,Other,Layanan Inti,,,N,IKD
23887,e97ee2a9-7b08-479a-943b-b4d55a54d998,"70 kali kita masuk, 70 kalilah disuruh sign in pening kali. udah 2026pun gak ada kemajuan.",1,2026-03-06 15:26:31,Bug Report,Login/OTP/Verifikasi,,,N,IKD
22610,b77afb70-b0ce-4195-a7fc-7b82b30e51bb,"ujung²nya mesti ke disduk capil utk verivikasi, hadeh",1,2026-05-17 09:25:38,Other,Login/OTP/Verifikasi,,,N,IKD
24553,250fa398-dce6-4a98-8dfb-d74b16b99f6f,"padahal udah daftar sesuai. giliran mau masuk lg hrs verifikasi pin, tp PIN YANG MANA????? Bikin esmosi aplikasi pemerintah ini gak bermutu",1,2026-01-15 17:58:53,Bug Report,Login/OTP/Verifikasi,,,N,IKD
26813,2aa54801-df8e-4333-b922-df6ef7878e8b,najis ' digital tp disuruh scan QR ke kantor !!! kan sama aja blok blok,1,2025-09-03 18:20:55,Other,Login/OTP/Verifikasi,,,N,IKD
22881,ada4ca3b-3f5e-41b8-9408-0a1e2c752f7a,Mohon bisa ditambah dng sidik jari.,4,2026-05-09 10:55:39,Feature Request,Login/OTP/Verifikasi,,,N,IKD
25800,da6d3cce-3f61-4a64-b96c-07b189a787a2,anggaran doang yg besar soal aplikasi sepele begini kualitas jelek,1,2025-11-08 12:11:11,Other,Other,,,N,IKD
27092,fd87682b-4cda-40a1-9b66-84c23a9e8848,"payah penanganan lama, cuma minta soft file buat print ktp sementara aja lama banget. malu dong kalah sama shopee dan platform olshop lainnya yg sigap. masa sekelas pemerintah kalah. kerja nya kebanyakan ngopi2 doang",1,2025-08-13 16:21:59,Other,Layanan Inti,,,N,IKD
26065,2a3677a8-64a4-4ede-94ef-29e4c3e222a1,aplikasi gak berguna ini siapa s yg bikin???,1,2025-10-22 02:37:35,Other,Other,,,N,IKD
24916,4bac9d3b-e6ba-4498-b579-f0e484677947,"apk busuk!!! tiap buka harus login, lagian buat apasi harus di izinkan semua akses gambar dll padahal cuman buka identitas doang!!!",1,2025-12-24 19:25:12,Bug Report,Login/OTP/Verifikasi,,,N,IKD
26086,d19da6a8-b30a-4e80-930c-6348ea89a8a1,beberapa hari ini fitur pelayanan tidak bisa terbuka loading terus tolong dong di perbaiki,3,2025-10-21 00:00:11,Bug Report,Layanan Inti,,,N,IKD
